schemaname,tablename,rowsecurity
public,ai_plans,true
public,audio_guides,true
public,badges,true
public,checkins,true
public,daily_digests,true
public,daily_specials,true
public,event_attendance,true
public,event_series,true
public,event_submissions,true
public,events,true
public,favorites,true
public,profiles,true
public,raw_events,false
public,reports,true
public,scrape_log,true
public,scrape_sources,true
public,seasonal_modes,true
public,spatial_ref_sys,false
public,tip_upvotes,true
public,tips,true
public,user_badges,true
public,venue_aliases,false
public,venue_claims,true
public,venue_submissions,true
public,venues,true